TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,6.9230e+29,1.6533e+29,5.1773e+29,2.4500e+27,6.7900e+27,1.1261e+29,5.2720e+28,2.7651e+29,2.4122e+29,1.4400e+27,1.0100e+27,3.5500e+27,3.2400e+27,4.1090e+08,2.2626e+06,1.4863e+09,1.5359e-05,1.8962e+07,1.7808e+05,6.6625e+05,6.6621e+05,23.9,74.8,0.4,1.0,6.9211e+29,6.7020e+29,2.1400e+28,5.1000e+26,2.4895e+28,0.0000e+00,96.8,3.1,0.1
1,7.0044e+29,1.6552e+29,5.2552e+29,2.6200e+27,6.7800e+27,1.1383e+29,5.1690e+28,2.8243e+29,2.4309e+29,1.3900e+27,1.2300e+27,3.2300e+27,3.5500e+27,4.0920e+08,2.7193e+06,1.2401e+09,1.3627e-05,1.8882e+07,1.6893e+05,6.6621e+05,6.6612e+05,23.6,75.0,0.4,1.0,7.0008e+29,6.7792e+29,2.1730e+28,4.3000e+26,2.4887e+28,0.0000e+00,96.8,3.1,0.1
2,7.0335e+29,1.6368e+29,5.3041e+29,2.4700e+27,6.7900e+27,1.1137e+29,5.2310e+28,2.8940e+29,2.4101e+29,1.4300e+27,1.0400e+27,3.3500e+27,3.4400e+27,4.0830e+08,2.3093e+06,1.1984e+09,1.1810e-05,1.8753e+07,1.6513e+05,6.6611e+05,6.6595e+05,23.3,75.4,0.4,1.0,7.0338e+29,6.8111e+29,2.1820e+28,4.5000e+26,2.4871e+28,0.0000e+00,96.8,3.1,0.1
3,7.2241e+29,1.6529e+29,5.4770e+29,2.6100e+27,6.8100e+27,1.1301e+29,5.2280e+28,2.9489e+29,2.5281e+29,1.3700e+27,1.2400e+27,3.6100e+27,3.2000e+27,4.0456e+08,2.7469e+06,1.3444e+09,1.0207e-05,1.8001e+07,1.6323e+05,6.6595e+05,6.6572e+05,22.9,75.8,0.4,0.9,7.2131e+29,6.9830e+29,2.2350e+28,6.6000e+26,2.5031e+28,0.0000e+00,96.8,3.1,0.1
4,6.9942e+29,1.6381e+29,5.2652e+29,2.3100e+27,6.7800e+27,1.1204e+29,5.1770e+28,2.8163e+29,2.4489e+29,1.1700e+27,1.1400e+27,3.2200e+27,3.5600e+27,4.0247e+08,2.7120e+06,1.4998e+09,8.8210e-06,1.7987e+07,1.5805e+05,6.6572e+05,6.6543e+05,23.4,75.3,0.3,1.0,7.0169e+29,6.7935e+29,2.1770e+28,5.7000e+26,2.4818e+28,0.0000e+00,96.8,3.1,0.1
5,6.9557e+29,1.6243e+29,5.2367e+29,2.6900e+27,6.7800e+27,1.1126e+29,5.1170e+28,2.8365e+29,2.4002e+29,1.3900e+27,1.3000e+27,3.5100e+27,3.2700e+27,3.9992e+08,2.5971e+06,1.6256e+09,7.6171e-06,1.7944e+07,1.6672e+05,6.6542e+05,6.6507e+05,23.4,75.3,0.4,1.0,6.9368e+29,6.7161e+29,2.1410e+28,6.6000e+26,2.4779e+28,0.0000e+00,96.8,3.1,0.1
6,7.2020e+29,1.6282e+29,5.4806e+29,2.5100e+27,6.8100e+27,1.1087e+29,5.1950e+28,2.9309e+29,2.5497e+29,1.3900e+27,1.1200e+27,3.3800e+27,3.4300e+27,3.9620e+08,1.6690e+06,1.2862e+09,6.6249e-06,1.8195e+07,1.5992e+05,6.6506e+05,6.6464e+05,22.6,76.1,0.3,0.9,7.1946e+29,6.9670e+29,2.2200e+28,5.6000e+26,2.4915e+28,0.0000e+00,96.8,3.1,0.1
7,7.2022e+29,1.6173e+29,5.4924e+29,2.5000e+27,6.7500e+27,1.0879e+29,5.2940e+28,2.9085e+29,2.5839e+29,1.3500e+27,1.1500e+27,3.2800e+27,3.4700e+27,3.9272e+08,2.4510e+06,1.5835e+09,5.7214e-06,1.7562e+07,1.6136e+05,6.6464e+05,6.6415e+05,22.5,76.3,0.3,0.9,7.2202e+29,6.9893e+29,2.2520e+28,5.7000e+26,2.4680e+28,0.0000e+00,96.8,3.1,0.1
8,7.1614e+29,1.6381e+29,5.4286e+29,2.6600e+27,6.8100e+27,1.1032e+29,5.3490e+28,2.8673e+29,2.5613e+29,1.4700e+27,1.1900e+27,3.2400e+27,3.5700e+27,3.8931e+08,2.6734e+06,1.4114e+09,4.9404e-06,1.7829e+07,1.8356e+05,6.6415e+05,6.6359e+05,22.9,75.8,0.4,1.0,7.1572e+29,6.9212e+29,2.2930e+28,6.7000e+26,2.4800e+28,0.0000e+00,96.7,3.2,0.1
9,7.1205e+29,1.5850e+29,5.4418e+29,2.5700e+27,6.8000e+27,1.0616e+29,5.2340e+28,2.9954e+29,2.4464e+29,1.4400e+27,1.1300e+27,3.4400e+27,3.3600e+27,3.8556e+08,2.5776e+06,1.2996e+09,4.2727e-06,1.8087e+07,1.8294e+05,6.6359e+05,6.6297e+05,22.3,76.4,0.4,1.0,7.1144e+29,6.8971e+29,2.1040e+28,6.9000e+26,2.4731e+28,0.0000e+00,96.9,3.0,0.1
10,6.9814e+29,1.5798e+29,5.3084e+29,2.4900e+27,6.8300e+27,1.0482e+29,5.3160e+28,2.8216e+29,2.4868e+29,1.3500e+27,1.1400e+27,3.3000e+27,3.5300e+27,3.8278e+08,2.5841e+06,2.0801e+09,3.7031e-06,1.7898e+07,1.9529e+05,6.6297e+05,6.6229e+05,22.6,76.0,0.4,1.0,7.0061e+29,6.7859e+29,2.1200e+28,8.2000e+26,2.4655e+28,0.0000e+00,96.9,3.0,0.1
11,7.0186e+29,1.5849e+29,5.3445e+29,2.1400e+27,6.7800e+27,1.0567e+29,5.2820e+28,2.8272e+29,2.5173e+29,1.1700e+27,9.7000e+26,3.3700e+27,3.4100e+27,3.7938e+08,2.2467e+06,1.4691e+09,3.2185e-06,1.7287e+07,1.5282e+05,6.6228e+05,6.6154e+05,22.6,76.1,0.3,1.0,7.0117e+29,6.7968e+29,2.0940e+28,5.5000e+26,2.4572e+28,0.0000e+00,96.9,3.0,0.1
12,6.9162e+29,1.5727e+29,5.2513e+29,2.5000e+27,6.7200e+27,1.0489e+29,5.2380e+28,2.7971e+29,2.4542e+29,1.4200e+27,1.0800e+27,3.5300e+27,3.1900e+27,3.7630e+08,2.9678e+06,1.5207e+09,2.8073e-06,1.7025e+07,2.0131e+05,6.6153e+05,6.6073e+05,22.7,75.9,0.4,1.0,6.9106e+29,6.7038e+29,2.0020e+28,6.6000e+26,2.4481e+28,0.0000e+00,97.0,2.9,0.1
13,6.9099e+29,1.5836e+29,5.2358e+29,2.3000e+27,6.7500e+27,1.0418e+29,5.4180e+28,2.7779e+29,2.4579e+29,1.3300e+27,9.7000e+26,3.4000e+27,3.3500e+27,3.7293e+08,2.8613e+06,1.3501e+09,2.4589e-06,1.6972e+07,1.7930e+05,6.6072e+05,6.5985e+05,22.9,75.8,0.3,1.0,6.9250e+29,6.7101e+29,2.0740e+28,7.5000e+26,2.4383e+28,0.0000e+00,96.9,3.0,0.1
14,7.0267e+29,1.5728e+29,5.3592e+29,2.6200e+27,6.8500e+27,1.0297e+29,5.4310e+28,2.8148e+29,2.5444e+29,1.3900e+27,1.2300e+27,3.4300e+27,3.4200e+27,3.7021e+08,2.7109e+06,1.4772e+09,2.1623e-06,1.6811e+07,1.7315e+05,6.5985e+05,6.5891e+05,22.4,76.3,0.4,1.0,7.0165e+29,6.8009e+29,2.0550e+28,1.0100e+27,2.4456e+28,0.0000e+00,96.9,2.9,0.1
15,6.8909e+29,1.5623e+29,5.2361e+29,2.5200e+27,6.7300e+27,1.0243e+29,5.3800e+28,2.6905e+29,2.5456e+29,1.3100e+27,1.2100e+27,3.3200e+27,3.4100e+27,3.6715e+08,2.4454e+06,1.4431e+09,1.9124e-06,1.6567e+07,1.7499e+05,6.5891e+05,6.5791e+05,22.7,76.0,0.4,1.0,6.8987e+29,6.6848e+29,2.0400e+28,9.9000e+26,2.4343e+28,0.0000e+00,96.9,3.0,0.1
16,7.0437e+29,1.5968e+29,5.3543e+29,2.5100e+27,6.7500e+27,1.0424e+29,5.5440e+28,2.8006e+29,2.5537e+29,1.4500e+27,1.0600e+27,3.4500e+27,3.3000e+27,3.6443e+08,2.5657e+06,1.3465e+09,1.7026e-06,1.7219e+07,1.7960e+05,6.5790e+05,6.5685e+05,22.7,76.0,0.4,1.0,7.0364e+29,6.8225e+29,2.0590e+28,8.0000e+26,2.4223e+28,0.0000e+00,97.0,2.9,0.1
