TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
209,6.3861e+29,5.9578e+29,0.0000e+00,3.5760e+28,7.0700e+27,2.2720e+29,3.6858e+29,0.0000e+00,0.0000e+00,1.3210e+28,2.2550e+28,3.5800e+27,3.4900e+27,1.0960e+28,0.0000e+00,1.3530e+08,1.5063e+06,0.0000e+00,0.0000e+00,4.3288e+07,4.7527e+06,3.2174e+05,3.2043e+05,93.3,0.0,5.6,1.1,6.3879e+29,6.2368e+29,8.9000e+27,6.2100e+27,4.6924e+27,0.0000e+00,97.6,1.4,1.0
210,6.4083e+29,5.9747e+29,0.0000e+00,3.6420e+28,6.9400e+27,2.3149e+29,3.6598e+29,0.0000e+00,0.0000e+00,1.4570e+28,2.1850e+28,3.3500e+27,3.5900e+27,1.0980e+28,0.0000e+00,1.3368e+08,8.5707e+05,0.0000e+00,0.0000e+00,4.3250e+07,4.7818e+06,3.2310e+05,3.2174e+05,93.2,0.0,5.7,1.1,6.4165e+29,6.2521e+29,9.8600e+27,6.5800e+27,4.7620e+27,0.0000e+00,97.4,1.5,1.0
211,6.3621e+29,5.9247e+29,0.0000e+00,3.6710e+28,7.0300e+27,2.3340e+29,3.5907e+29,0.0000e+00,0.0000e+00,1.4050e+28,2.2660e+28,3.5900e+27,3.4400e+27,1.0220e+28,0.0000e+00,1.3236e+08,9.9317e+04,0.0000e+00,0.0000e+00,4.3147e+07,4.8291e+06,3.2449e+05,3.2310e+05,93.1,0.0,5.8,1.1,6.3490e+29,6.1908e+29,8.7200e+27,7.1000e+27,4.7850e+27,0.0000e+00,97.5,1.4,1.1
212,6.3025e+29,5.8803e+29,0.0000e+00,3.5190e+28,7.0300e+27,2.1244e+29,3.7559e+29,0.0000e+00,0.0000e+00,1.3080e+28,2.2110e+28,3.5000e+27,3.5300e+27,9.9800e+27,0.0000e+00,1.3106e+08,1.2376e+03,0.0000e+00,0.0000e+00,4.3097e+07,4.8463e+06,3.2594e+05,3.2450e+05,93.3,0.0,5.6,1.1,6.3119e+29,6.1429e+29,9.4700e+27,7.4300e+27,4.8597e+27,0.0000e+00,97.3,1.5,1.2
213,6.2900e+29,5.8852e+29,0.0000e+00,3.3560e+28,6.9200e+27,2.1383e+29,3.7469e+29,0.0000e+00,0.0000e+00,1.2590e+28,2.0970e+28,3.4100e+27,3.5100e+27,1.0120e+28,0.0000e+00,1.2976e+08,9.4348e+05,0.0000e+00,0.0000e+00,4.2904e+07,4.8459e+06,3.2742e+05,3.2594e+05,93.6,0.0,5.3,1.1,6.2838e+29,6.1289e+29,8.9300e+27,6.5600e+27,4.9035e+27,0.0000e+00,97.5,1.4,1.0
214,6.1991e+29,5.7842e+29,0.0000e+00,3.4280e+28,7.2100e+27,2.1513e+29,3.6329e+29,0.0000e+00,0.0000e+00,1.3270e+28,2.1010e+28,3.5600e+27,3.6500e+27,1.0410e+28,0.0000e+00,1.2771e+08,1.5435e+06,0.0000e+00,0.0000e+00,4.2881e+07,4.8833e+06,3.2894e+05,3.2742e+05,93.3,0.0,5.5,1.2,6.2088e+29,6.0574e+29,8.2900e+27,6.8500e+27,4.9665e+27,0.0000e+00,97.6,1.3,1.1
215,6.1820e+29,5.7707e+29,0.0000e+00,3.4100e+28,7.0300e+27,2.2020e+29,3.5687e+29,0.0000e+00,0.0000e+00,1.2800e+28,2.1300e+28,3.7200e+27,3.3100e+27,1.1510e+28,0.0000e+00,1.2664e+08,7.5955e+05,0.0000e+00,0.0000e+00,4.2842e+07,4.8993e+06,3.3052e+05,3.2895e+05,93.3,0.0,5.5,1.1,6.1802e+29,6.0189e+29,9.0900e+27,7.0400e+27,5.0323e+27,0.0000e+00,97.4,1.5,1.1
216,6.1708e+29,5.7702e+29,0.0000e+00,3.3040e+28,7.0200e+27,2.2285e+29,3.5417e+29,0.0000e+00,0.0000e+00,1.2020e+28,2.1020e+28,3.6100e+27,3.4100e+27,1.1180e+28,0.0000e+00,1.2543e+08,1.2631e+03,0.0000e+00,0.0000e+00,4.2783e+07,4.8907e+06,3.3213e+05,3.3052e+05,93.5,0.0,5.4,1.1,6.1737e+29,6.0194e+29,8.4900e+27,6.9400e+27,5.0828e+27,0.0000e+00,97.5,1.4,1.1
217,6.0648e+29,5.6765e+29,0.0000e+00,3.1730e+28,7.1000e+27,2.0212e+29,3.6553e+29,0.0000e+00,0.0000e+00,1.2290e+28,1.9440e+28,3.8300e+27,3.2700e+27,9.8800e+27,0.0000e+00,1.2364e+08,6.5769e+04,0.0000e+00,0.0000e+00,4.1580e+07,4.8963e+06,3.3377e+05,3.3213e+05,93.6,0.0,5.2,1.2,6.0687e+29,5.9065e+29,8.8400e+27,7.3800e+27,5.1351e+27,0.0000e+00,97.3,1.5,1.2
218,6.0784e+29,5.6856e+29,0.0000e+00,3.2150e+28,7.1300e+27,2.0657e+29,3.6199e+29,0.0000e+00,0.0000e+00,1.2700e+28,1.9450e+28,3.6600e+27,3.4700e+27,1.1130e+28,0.0000e+00,1.2258e+08,1.2128e+06,0.0000e+00,0.0000e+00,4.1544e+07,4.8827e+06,3.3547e+05,3.3378e+05,93.5,0.0,5.3,1.2,6.0739e+29,5.9167e+29,8.8700e+27,6.8500e+27,5.2080e+27,0.0000e+00,97.4,1.5,1.1
