TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
127,1.4693e+29,3.8805e+28,9.7423e+28,3.7170e+27,6.9890e+27,3.6850e+28,1.9550e+27,9.0391e+28,7.0320e+27,3.2390e+27,4.7800e+26,3.4770e+27,3.5120e+27,26.4,66.3,2.5,4.8,1.4680e+29,1.4358e+29,1.5320e+27,1.6930e+27,0.0000e+00,0.0000e+00,97.8,1.0,1.2
128,1.5085e+29,3.9601e+28,1.0049e+29,3.7430e+27,7.0090e+27,3.7652e+28,1.9490e+27,9.3617e+28,6.8750e+27,3.2730e+27,4.7000e+26,3.5360e+27,3.4730e+27,26.3,66.6,2.5,4.6,1.5082e+29,1.4734e+29,1.7310e+27,1.7420e+27,0.0000e+00,0.0000e+00,97.7,1.1,1.2
129,1.5440e+29,4.0605e+28,1.0304e+29,3.7390e+27,7.0150e+27,3.8612e+28,1.9930e+27,9.6375e+28,6.6630e+27,3.2680e+27,4.7100e+26,3.5610e+27,3.4540e+27,26.3,66.7,2.4,4.5,1.5438e+29,1.5097e+29,1.6810e+27,1.7240e+27,0.0000e+00,0.0000e+00,97.8,1.1,1.1
130,1.5785e+29,4.1156e+28,1.0594e+29,3.7400e+27,7.0210e+27,3.9143e+28,2.0130e+27,9.9479e+28,6.4580e+27,3.2640e+27,4.7600e+26,3.5420e+27,3.4790e+27,26.1,67.1,2.4,4.4,1.5780e+29,1.5420e+29,1.7710e+27,1.8220e+27,0.0000e+00,0.0000e+00,97.7,1.1,1.2
131,1.6145e+29,4.1675e+28,1.0919e+29,3.5770e+27,6.9990e+27,3.9758e+28,1.9170e+27,1.0279e+29,6.4090e+27,3.0910e+27,4.8600e+26,3.5690e+27,3.4300e+27,25.8,67.6,2.2,4.3,1.6143e+29,1.5801e+29,1.7470e+27,1.6730e+27,0.0000e+00,0.0000e+00,97.9,1.1,1.0
132,1.6467e+29,4.2446e+28,1.1133e+29,3.8810e+27,7.0160e+27,4.0596e+28,1.8500e+27,1.0462e+29,6.7090e+27,3.4090e+27,4.7200e+26,3.5450e+27,3.4710e+27,25.8,67.6,2.4,4.3,1.6445e+29,1.6102e+29,1.8340e+27,1.6020e+27,0.0000e+00,0.0000e+00,97.9,1.1,1.0
133,1.6996e+29,4.3266e+28,1.1466e+29,5.0180e+27,7.0210e+27,4.1114e+28,2.1520e+27,1.0733e+29,7.3280e+27,4.4860e+27,5.3200e+26,3.5780e+27,3.4430e+27,25.5,67.5,3.0,4.1,1.6984e+29,1.6594e+29,1.9710e+27,1.9280e+27,0.0000e+00,0.0000e+00,97.7,1.2,1.1
134,1.7456e+29,4.4166e+28,1.1840e+29,4.9800e+27,7.0130e+27,4.2059e+28,2.1070e+27,1.1091e+29,7.4950e+27,4.4740e+27,5.0600e+26,3.5190e+27,3.4940e+27,25.3,67.8,2.9,4.0,1.7457e+29,1.7067e+29,1.9030e+27,2.0000e+27,0.0000e+00,0.0000e+00,97.8,1.1,1.1
135,1.7948e+29,4.4860e+28,1.2258e+29,5.0490e+27,6.9930e+27,4.2731e+28,2.1290e+27,1.1536e+29,7.2190e+27,4.4850e+27,5.6400e+26,3.4540e+27,3.5390e+27,25.0,68.3,2.8,3.9,1.7944e+29,1.7557e+29,1.8900e+27,1.9800e+27,0.0000e+00,0.0000e+00,97.8,1.1,1.1
136,1.8443e+29,4.5749e+28,1.2664e+29,4.9890e+27,7.0510e+27,4.3631e+28,2.1180e+27,1.1924e+29,7.4050e+27,4.4070e+27,5.8200e+26,3.4950e+27,3.5560e+27,24.8,68.7,2.7,3.8,1.8434e+29,1.8040e+29,2.0680e+27,1.8690e+27,0.0000e+00,0.0000e+00,97.9,1.1,1.0
