Wavelength(nm) Intensity
5.89680600e+02 3.78284439e+03
5.89683895e+02 3.81969322e+03
5.89687190e+02 4.36702759e+03
5.89690485e+02 4.12239137e+03
5.89693780e+02 3.96081383e+03
5.89697075e+02 3.79864130e+03
5.89700370e+02 4.10379451e+03
5.89703666e+02 3.72326134e+03
5.89706961e+02 3.64437653e+03
5.89710256e+02 3.85035910e+03
5.89713551e+02 4.16344573e+03
5.89716846e+02 3.98845250e+03
5.89720141e+02 3.71339457e+03
5.89723436e+02 4.09450539e+03
5.89726731e+02 4.03666635e+03
5.89730027e+02 3.58281019e+03
5.89733322e+02 3.80847631e+03
5.89736617e+02 3.86840993e+03
5.89739912e+02 3.83234424e+03
5.89743207e+02 3.64561077e+03
5.89746502e+02 3.36826447e+03
5.89749797e+02 3.69308679e+03
5.89753092e+02 3.36827373e+03
5.89756387e+02 3.21820246e+03
5.89759683e+02 3.14732010e+03
5.89762978e+02 3.29836012e+03
5.89766273e+02 3.12106511e+03
5.89769568e+02 3.35818857e+03
5.89772863e+02 2.85147503e+03
5.89776158e+02 2.82011298e+03
5.89779453e+02 2.78261643e+03
5.89782748e+02 2.50042187e+03
5.89786044e+02 2.18714958e+03
5.89789339e+02 1.52230549e+03
5.89792634e+02 1.28505828e+03
5.89795929e+02 5.34032509e+02
5.89799224e+02 4.79152305e+02
5.89802519e+02 4.16126198e+02
5.89805814e+02 6.09555606e+02
5.89809109e+02 1.55938847e+03
5.89812404e+02 4.53436958e+03
5.89815700e+02 8.68973025e+03
5.89818995e+02 1.25902913e+04
5.89822290e+02 1.45452877e+04
5.89825585e+02 1.22674029e+04
5.89828880e+02 7.80856633e+03
5.89832175e+02 4.35400363e+03
5.89835470e+02 2.87402129e+03
5.89838765e+02 2.12596775e+03
5.89842061e+02 2.67234008e+03
5.89845356e+02 2.54633313e+03
5.89848651e+02 2.26062674e+03
5.89851946e+02 2.82253744e+03
5.89855241e+02 3.77535552e+03
5.89858536e+02 3.26581675e+03
5.89861831e+02 3.28156619e+03
5.89865126e+02 3.82636051e+03
5.89868421e+02 3.49148799e+03
5.89871717e+02 3.63628914e+03
5.89875012e+02 3.54295805e+03
5.89878307e+02 3.76859431e+03
5.89881602e+02 3.92195818e+03
5.89884897e+02 4.03411340e+03
5.89888192e+02 3.96348941e+03
5.89891487e+02 3.92717966e+03
5.89894782e+02 3.97881433e+03
5.89898078e+02 3.86976903e+03
5.89901373e+02 4.01140440e+03
5.89904668e+02 3.48619912e+03
5.89907963e+02 3.34357320e+03
5.89911258e+02 3.29412440e+03
5.89914553e+02 3.85038181e+03
5.89917848e+02 3.78171288e+03
5.89921143e+02 4.11879600e+03
5.89924438e+02 4.02540167e+03
5.89927734e+02 4.31203582e+03
5.89931029e+02 4.04030075e+03
5.89934324e+02 3.73195576e+03
5.89937619e+02 3.71430882e+03
5.89940914e+02 3.75874661e+03
5.89944209e+02 3.51878767e+03
5.89947504e+02 3.84118131e+03
5.89950799e+02 4.02282368e+03
5.89954095e+02 3.71544390e+03
5.89957390e+02 3.92512370e+03
5.89960685e+02 3.86417071e+03
5.89963980e+02 3.65442411e+03
5.89967275e+02 3.84961704e+03
5.89970570e+02 3.86817071e+03
5.89973865e+02 3.04942974e+03
5.89977160e+02 2.49649380e+03
5.89980455e+02 2.74560678e+03
5.89983751e+02 2.58391489e+03
5.89987046e+02 3.48946840e+03
5.89990341e+02 3.89553658e+03
5.89993636e+02 4.35758350e+03
5.89996931e+02 4.02175185e+03
5.90000226e+02 4.01587876e+03
5.90003521e+02 3.99290562e+03
5.90006816e+02 4.13421170e+03
5.90010112e+02 4.02791929e+03
5.90013407e+02 4.20105285e+03
5.90016702e+02 3.96944652e+03
5.90019997e+02 4.13028868e+03
5.90023292e+02 4.08436610e+03
5.90026587e+02 4.06406970e+03
5.90029882e+02 4.02115698e+03
5.90033177e+02 3.75794853e+03
5.90036472e+02 3.76562496e+03
5.90039768e+02 4.09348862e+03
5.90043063e+02 3.75520021e+03
5.90046358e+02 3.85866303e+03
5.90049653e+02 3.82131962e+03
5.90052948e+02 4.21166951e+03
5.90056243e+02 3.43376042e+03
5.90059538e+02 3.55993091e+03
5.90062833e+02 3.03116121e+03
5.90066129e+02 3.52869773e+03
5.90069424e+02 3.69007821e+03
5.90072719e+02 3.33713890e+03
5.90076014e+02 4.05963829e+03
5.90079309e+02 4.47401214e+03
5.90082604e+02 4.01399125e+03
5.90085899e+02 4.13619353e+03
5.90089194e+02 4.06142963e+03
5.90092489e+02 3.90508045e+03
5.90095785e+02 4.00173994e+03
5.90099080e+02 4.29734397e+03
5.90102375e+02 3.95412616e+03
5.90105670e+02 4.06402557e+03
5.90108965e+02 4.25996669e+03
5.90112260e+02 4.35233303e+03
5.90115555e+02 4.22638686e+03
5.90118850e+02 4.16059436e+03
5.90122146e+02 4.17688906e+03
5.90125441e+02 4.21326171e+03
5.90128736e+02 3.97719040e+03
5.90132031e+02 3.63015851e+03
5.90135326e+02 3.48060736e+03
5.90138621e+02 3.32941005e+03
5.90141916e+02 3.47730092e+03
5.90145211e+02 3.36006160e+03
5.90148506e+02 3.42636178e+03
5.90151802e+02 3.01790603e+03
5.90155097e+02 2.89568246e+03
5.90158392e+02 2.68100430e+03
5.90161687e+02 2.54488642e+03
5.90164982e+02 2.24913006e+03
5.90168277e+02 2.11606714e+03
5.90171572e+02 2.67302608e+03
5.90174867e+02 2.91804424e+03
5.90178163e+02 3.62310880e+03
5.90181458e+02 4.05511265e+03
5.90184753e+02 3.85811127e+03
5.90188048e+02 4.24383317e+03
5.90191343e+02 4.56647739e+03
5.90194638e+02 4.77488943e+03
5.90197933e+02 4.28279118e+03
5.90201228e+02 4.36371400e+03
5.90204523e+02 4.24382736e+03
5.90207819e+02 3.92212815e+03
5.90211114e+02 4.08811153e+03
5.90214409e+02 4.22091738e+03
5.90217704e+02 3.99479069e+03
5.90220999e+02 4.00637766e+03
5.90224294e+02 4.20137333e+03
5.90227589e+02 4.17076376e+03
5.90230884e+02 4.02398349e+03
5.90234180e+02 4.23971688e+03
5.90237475e+02 4.13993941e+03
5.90240770e+02 4.37307548e+03
5.90244065e+02 4.23138501e+03
5.90247360e+02 3.94891241e+03
5.90250655e+02 3.88628354e+03
5.90253950e+02 3.83304248e+03
5.90257245e+02 3.92327819e+03
