filename,cts2MR
MERCURY1_tr.totfib_sft-05,3.48296206e+24
MERCURY1_tr.totfib_sft005,3.48027924e+24
MERCURY1_tr.totfib_sft015,3.47880630e+24
MERCURY2_tr.totfib_sft-05,3.47463250e+24
MERCURY2_tr.totfib_sft005,3.47192266e+24
MERCURY2_tr.totfib_sft015,3.47037382e+24
MERCURY3_tr.totfib_sft-05,3.31333505e+24
MERCURY3_tr.totfib_sft005,3.31071273e+24
MERCURY3_tr.totfib_sft015,3.30922352e+24
MERCURY4_tr.totfib_sft-05,3.31356014e+24
MERCURY4_tr.totfib_sft005,3.31093713e+24
MERCURY4_tr.totfib_sft015,3.30946242e+24
MERCURY5_tr.totfib_sft-05,1.85838005e+27
MERCURY5_tr.totfib_sft005,1.82418305e+27
MERCURY5_tr.totfib_sft015,1.74114575e+27
MERCURY6_tr.totfib_sft-05,-5.74337873e+27
MERCURY6_tr.totfib_sft005,-5.84147696e+27
MERCURY6_tr.totfib_sft015,-5.93104375e+27
MERCURY7_tr.totfib_sft-05,-4.94171667e+26
MERCURY7_tr.totfib_sft005,-4.92113218e+26
MERCURY7_tr.totfib_sft015,-4.85126046e+26
MERCURY8_tr.totfib_sft-05,4.32784139e+24
MERCURY8_tr.totfib_sft005,4.32456127e+24
MERCURY8_tr.totfib_sft015,4.32278151e+24
