# Wavelength Flux(MR)
5.89097364e+02 8.96145467e+28
5.89100659e+02 -6.38505087e+28
5.89103954e+02 1.81561733e+28
5.89107249e+02 4.45395316e+26
5.89110544e+02 1.59776677e+28
5.89113839e+02 -8.70907470e+28
5.89117135e+02 -3.47579029e+28
5.89120430e+02 -5.42017095e+28
5.89123725e+02 -2.44518445e+28
5.89127020e+02 -9.61750606e+28
5.89130315e+02 -2.47759930e+28
5.89133610e+02 1.03498559e+29
5.89136905e+02 6.66244968e+28
5.89140200e+02 6.92333467e+28
5.89143496e+02 8.68589427e+28
5.89146791e+02 5.01047316e+28
5.89150086e+02 -3.68867793e+28
5.89153381e+02 -1.19223889e+28
5.89156676e+02 -8.61512061e+28
5.89159971e+02 6.38785353e+27
5.89163266e+02 -1.80926077e+28
5.89166561e+02 3.28465488e+28
5.89169856e+02 1.97065146e+28
5.89173152e+02 6.58348518e+28
5.89176447e+02 6.75449413e+28
5.89179742e+02 1.41845695e+29
5.89183037e+02 8.85245747e+28
5.89186332e+02 -8.99682990e+28
5.89189627e+02 3.25787396e+28
5.89192922e+02 4.96899720e+28
5.89196217e+02 -6.90266565e+28
5.89199513e+02 -5.92815884e+28
5.89202808e+02 -5.75981953e+28
5.89206103e+02 -1.88361761e+28
5.89209398e+02 -7.11054906e+28
5.89212693e+02 2.99680095e+28
5.89215988e+02 1.83393261e+28
5.89219283e+02 1.60769109e+29
5.89222578e+02 3.99742802e+29
5.89225873e+02 7.50050782e+29
5.89229169e+02 8.51106226e+29
5.89232464e+02 4.88172879e+29
5.89235759e+02 1.96581043e+29
5.89239054e+02 7.32015895e+28
5.89242349e+02 8.98810540e+28
5.89245644e+02 4.74709386e+28
5.89248939e+02 7.05629258e+28
5.89252234e+02 -3.06111357e+28
5.89255530e+02 -8.13629520e+28
5.89258825e+02 -2.71207620e+27
5.89262120e+02 1.20459936e+29
5.89265415e+02 5.37352371e+28
5.89268710e+02 3.04196871e+26
5.89272005e+02 -9.73902376e+28
5.89275300e+02 -1.07551982e+28
5.89278595e+02 -1.11461736e+29
5.89281890e+02 -5.85392211e+28
5.89285186e+02 -5.50124336e+28
5.89288481e+02 1.02222946e+29
5.89291776e+02 8.00085400e+28
5.89295071e+02 1.44631723e+29
5.89298366e+02 1.35464458e+29
5.89301661e+02 1.00649018e+29
5.89304956e+02 1.17596337e+28
5.89308251e+02 -8.16874124e+28
5.89311547e+02 -4.10013656e+28
5.89314842e+02 -4.53996991e+28
5.89318137e+02 -4.28184220e+28
5.89321432e+02 -4.51845980e+28
5.89324727e+02 -5.44554747e+28
5.89328022e+02 -7.29361365e+28
5.89331317e+02 4.19409731e+28
5.89334612e+02 1.16799365e+29
5.89337907e+02 1.02994167e+29
5.89341203e+02 1.31588103e+29
5.89344498e+02 5.19765644e+28
5.89347793e+02 -7.95079348e+27
5.89351088e+02 -4.47643228e+28
5.89354383e+02 6.34352737e+28
5.89357678e+02 4.22324225e+28
5.89360973e+02 -1.78422681e+28
5.89364268e+02 1.60354472e+29
5.89367564e+02 -4.73050315e+28
5.89370859e+02 -3.40433192e+28
5.89374154e+02 -4.90710042e+28
5.89377449e+02 5.69728462e+28
5.89380744e+02 7.14254554e+27
5.89384039e+02 -9.06032501e+28
5.89387334e+02 -5.08420293e+28
5.89390629e+02 -5.65705917e+27
5.89393924e+02 7.29266945e+28
5.89397220e+02 -5.94464152e+28
5.89400515e+02 -7.46383411e+28
5.89403810e+02 -6.00955050e+28
5.89407105e+02 1.79283880e+29
5.89410400e+02 5.40682084e+28
5.89413695e+02 1.28867995e+29
5.89416990e+02 1.33746135e+29
5.89420285e+02 -5.00135181e+28
5.89423581e+02 -7.91661063e+28
5.89426876e+02 -7.15461705e+28
5.89430171e+02 1.34476694e+28
5.89433466e+02 -1.27555924e+29
5.89436761e+02 2.74332089e+27
5.89440056e+02 -8.12798174e+28
5.89443351e+02 -9.85242129e+28
5.89446646e+02 -2.35015777e+28
5.89449941e+02 1.00005860e+27
5.89453237e+02 7.78447411e+28
5.89456532e+02 5.35195519e+28
5.89459827e+02 1.34871630e+29
5.89463122e+02 1.00236993e+29
5.89466417e+02 -6.90604082e+28
5.89469712e+02 -1.08670831e+29
5.89473007e+02 3.53306918e+28
5.89476302e+02 -1.17674622e+29
5.89479598e+02 8.56068028e+28
5.89482893e+02 4.45852750e+28
5.89486188e+02 1.90447748e+28
5.89489483e+02 2.90913403e+28
5.89492778e+02 -6.37648385e+28
5.89496073e+02 -4.28908210e+28
5.89499368e+02 -2.83099939e+28
5.89502663e+02 -4.18729458e+28
5.89505959e+02 -1.49782176e+28
5.89509254e+02 -5.47471477e+28
5.89512549e+02 -5.23047323e+28
5.89515844e+02 -2.16826719e+28
5.89519139e+02 1.26501554e+28
5.89522434e+02 1.35793463e+27
5.89525729e+02 2.97299608e+28
5.89529024e+02 -3.54630444e+28
5.89532319e+02 1.15823090e+28
5.89535615e+02 3.57756871e+28
5.89538910e+02 -4.82899739e+28
5.89542205e+02 -9.18245387e+28
5.89545500e+02 4.63273944e+28
5.89548795e+02 2.36455702e+28
5.89552090e+02 5.59385084e+27
5.89555385e+02 2.23625744e+27
5.89558680e+02 -3.59028133e+28
5.89561976e+02 -6.02753674e+28
5.89565271e+02 -2.59935110e+28
5.89568566e+02 -7.67922960e+28
5.89571861e+02 -8.23873802e+28
5.89575156e+02 -4.38771580e+28
5.89578451e+02 -1.23963440e+29
5.89581746e+02 8.39637576e+27
