TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
167,2.3877e+30,1.0943e+30,1.2612e+30,2.5147e+28,7.0770e+27,9.2870e+29,1.6560e+29,9.9491e+29,2.6624e+29,1.8906e+28,6.2410e+27,3.5240e+27,3.5530e+27,45.8,52.8,1.1,0.3,2.3872e+30,2.3552e+30,2.7762e+28,4.2660e+27,1.4985e+28,0.0000e+00,98.7,1.2,0.2
168,2.4185e+30,1.1047e+30,1.2819e+30,2.4790e+28,7.0690e+27,9.3903e+29,1.6570e+29,1.0207e+30,2.6114e+29,1.8410e+28,6.3800e+27,3.5680e+27,3.5010e+27,45.7,53.0,1.0,0.3,2.4178e+30,2.3855e+30,2.8130e+28,4.1740e+27,1.4925e+28,0.0000e+00,98.7,1.2,0.2
169,2.4553e+30,1.1172e+30,1.3058e+30,2.5253e+28,7.0810e+27,9.4692e+29,1.7032e+29,1.0390e+30,2.6671e+29,1.8512e+28,6.7410e+27,3.5220e+27,3.5590e+27,45.5,53.2,1.0,0.3,2.4545e+30,2.4218e+30,2.8538e+28,4.0970e+27,1.4918e+28,0.0000e+00,98.7,1.2,0.2
170,2.4884e+30,1.1264e+30,1.3268e+30,2.8163e+28,7.0440e+27,9.3457e+29,1.9184e+29,1.0181e+30,3.0868e+29,2.0971e+28,7.1920e+27,3.5920e+27,3.4520e+27,45.3,53.3,1.1,0.3,2.4878e+30,2.4543e+30,2.9016e+28,4.4410e+27,1.4868e+28,0.0000e+00,98.7,1.2,0.2
171,2.5223e+30,1.1380e+30,1.3490e+30,2.8303e+28,7.0790e+27,9.4585e+29,1.9210e+29,1.0428e+30,3.0617e+29,2.0974e+28,7.3290e+27,3.4950e+27,3.5840e+27,45.1,53.5,1.1,0.3,2.5217e+30,2.4878e+30,2.9356e+28,4.5420e+27,1.4870e+28,0.0000e+00,98.7,1.2,0.2
172,2.5517e+30,1.1470e+30,1.3699e+30,2.7717e+28,7.0720e+27,9.5466e+29,1.9237e+29,1.0682e+30,3.0175e+29,2.0183e+28,7.5340e+27,3.5300e+27,3.5420e+27,45.0,53.7,1.1,0.3,2.5517e+30,2.5176e+30,2.9684e+28,4.3620e+27,1.4830e+28,0.0000e+00,98.7,1.2,0.2
173,2.5817e+30,1.1564e+30,1.3908e+30,2.7307e+28,7.0800e+27,9.6333e+29,1.9312e+29,1.0917e+30,2.9914e+29,1.9708e+28,7.5990e+27,3.5320e+27,3.5480e+27,44.8,53.9,1.1,0.3,2.5810e+30,2.5464e+30,3.0251e+28,4.2810e+27,1.4842e+28,0.0000e+00,98.7,1.2,0.2
174,2.6137e+30,1.1654e+30,1.4101e+30,3.1104e+28,7.0770e+27,9.4535e+29,2.2004e+29,1.0583e+30,3.5189e+29,2.2700e+28,8.4040e+27,3.6140e+27,3.4630e+27,44.6,54.0,1.2,0.3,2.6130e+30,2.5779e+30,3.0459e+28,4.6280e+27,1.4812e+28,0.0000e+00,98.7,1.2,0.2
175,2.6343e+30,1.1720e+30,1.4248e+30,3.0323e+28,7.0840e+27,9.5224e+29,2.1980e+29,1.0787e+30,3.4617e+29,2.2114e+28,8.2090e+27,3.5320e+27,3.5520e+27,44.5,54.1,1.2,0.3,2.6340e+30,2.5987e+30,3.0414e+28,4.8290e+27,1.4787e+28,0.0000e+00,98.7,1.2,0.2
176,2.6594e+30,1.1785e+30,1.4437e+30,3.0201e+28,7.0580e+27,9.6002e+29,2.1843e+29,1.1037e+30,3.3999e+29,2.1821e+28,8.3800e+27,3.6020e+27,3.4560e+27,44.3,54.3,1.1,0.3,2.6594e+30,2.6239e+30,3.0853e+28,4.6570e+27,1.4767e+28,0.0000e+00,98.7,1.2,0.2
