Time_hours,TAA,Exosphere_Total,Surface_Total,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward
29557.777777777777,0.004613984076968336,2.8860000000000003e+28,1.7608320176019617e+31,3.6419999999999967e+28,0.0,3.6039999999999967e+28,3.0000000000000005e+25,3.5e+26,4.277000000000016e+28,4.177000000000015e+28,1.0000000000000002e+27,0.0,1.2813938826112553e+27,0.0
29561.555555555555,1.0035978740661449,2.0940000000000003e+28,1.7635901285388132e+31,5.981299999999992e+29,0.0,5.9059999999999906e+29,7.400000000000005e+26,6.78999999999999e+27,6.0605000000000504e+29,5.91100000000005e+29,1.4669999999999992e+28,2.8e+26,2.4894453216448845e+28,0.0
29565.333333333332,2.0024777896696833,1.894e+28,1.7657251238263148e+31,5.2106999999999915e+29,0.0,5.1348999999999916e+29,8e+26,6.77999999999999e+27,5.230700000000035e+29,5.1046000000000346e+29,1.2370000000000002e+28,2.4e+26,2.488670602747906e+28,0.0
29569.11111111111,3.001149752583842,1.856e+28,1.7676856453611297e+31,4.959399999999991e+29,0.0,4.8822999999999935e+29,9.200000000000004e+26,6.78999999999999e+27,4.963200000000026e+29,4.8380000000000265e+29,1.2249999999999992e+28,2.7e+26,2.4871245505938524e+28,0.0
29572.916666666668,4.006850565499008,1.841e+28,1.7695902070684064e+31,4.96629999999999e+29,0.0,4.890999999999993e+29,7.200000000000005e+26,6.80999999999999e+27,4.9678000000000265e+29,4.846400000000029e+29,1.191e+28,2.3e+26,2.5030922725694004e+28,0.0
29576.694444444445,5.004794939285603,1.969e+28,1.771517107244923e+31,4.847399999999991e+29,0.0,4.772599999999992e+29,7.000000000000005e+26,6.779999999999991e+27,4.8346000000000255e+29,4.721100000000025e+29,1.1129999999999994e+28,2.2e+26,2.4817388748696293e+28,0.0
29580.472222222223,6.002221622954494,1.906e+28,1.7734914407621925e+31,4.941599999999993e+29,0.0,4.86579999999999e+29,8.000000000000007e+26,6.779999999999991e+27,4.947900000000027e+29,4.8274000000000265e+29,1.176e+28,2.9e+26,2.47791299120634e+28,0.0
29584.277777777777,7.006355805322528,1.894e+28,1.7754251002214415e+31,4.919999999999994e+29,0.0,4.843799999999992e+29,8.100000000000003e+26,6.80999999999999e+27,4.9212000000000246e+29,4.8041000000000256e+29,1.1499999999999993e+28,2.1e+26,2.4914953557053713e+28,0.0
29588.055555555555,8.002435972621242,1.846e+28,1.7774119708723216e+31,4.8587999999999926e+29,0.0,4.780699999999993e+29,1.0600000000000005e+27,6.74999999999999e+27,4.863600000000027e+29,4.740600000000023e+29,1.1969999999999997e+28,3.3000000000000006e+26,2.4679726486300197e+28,0.0
29591.86111111111,9.005008106069909,1.9580000000000001e+28,1.7793947803079323e+31,5.027999999999992e+29,0.0,4.9521999999999914e+29,7.700000000000004e+26,6.80999999999999e+27,5.016800000000027e+29,4.896600000000028e+29,1.1719999999999995e+28,3e+26,2.479983468077559e+28,0.0
